SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
0381-51811-0362 9.314989135870825e-13 9.890027586383302e-13 -1.367064842339288 845595.1296387082
0380-51792-0039 9.144311937679454e-13 9.534736582890172e-13 -1.4911706182544364 2171080.213195423
0382-51816-0243 5.87827155777101e-13 6.142275331016178e-13 -1.317106527466743 361884.43341945816
0380-51792-0072 1.4175034626630052e-12 1.5138472468418724e-12 -1.5330690844666275 4651098.758928661
0381-51811-0083 3.193690787936676e-13 3.3766071498102803e-13 -0.9967587272193635 15998.353718172171
0381-51811-0367 4.928569451114103e-13 5.178732310148129e-13 -1.0280662177084239 31593.76879560499
0382-51816-0435 6.223598921450949e-13 6.550431820310126e-13 -1.9188294686443257 39198930.40667394
0380-51792-0470 2.6507127832380555e-13 2.8728546429013293e-13 -1.2140670220014114 73073.24504973518
0380-51792-0515 3.189193395975709e-13 3.3481948840853177e-13 -0.9479644261608386 10871.204455922463
0381-51811-0027 3.445699859677762e-13 3.7043940572149227e-13 -1.208694034476309 91083.36533787778
0381-51811-0102 8.605251425712161e-13 9.042100742262917e-13 -0.8868017742819014 18085.733785507826
0396-51816-0122 7.246562821863993e-13 7.664066624213242e-13 -1.552088677046176 2753406.4977547163
0398-51789-0519 5.297287550330364e-13 5.523129741276209e-13 -1.594922370830302 2799584.876423727
0396-51816-0445 3.2937921091843497e-13 3.495584293378569e-13 -1.4278932458486364 479273.8806550373
0396-51816-0378 5.909999859201524e-13 6.139545914619775e-13 -1.332467969915966 410018.80587597616
0397-51794-0374 2.0636278076125534e-12 2.1666876676213205e-12 -2.046400187355722 342191146.1801308
0398-51789-0149 7.024813508463831e-13 7.326065843146253e-13 -1.931705098162128 48795991.37411601
0397-51794-0329 1.0117897031523771e-12 1.062168510113202e-12 -1.6626444469347603 8999486.80112228
0397-51794-0495 8.282745046849576e-13 8.591008541503319e-13 -1.456921554093924 1508947.322571106
0397-51794-0058 1.4964060395856354e-12 1.580739202769668e-12 -1.6400318035563455 11187948.314707944
0397-51794-0161 4.0221110393023114e-13 4.2331807342691937e-13 -0.9971706513865641 20213.731219185924
0694-52209-0121 7.726839726548306e-13 8.140663336338474e-13 -1.2768033798517386 347547.1824602444
0396-51816-0342 1.2182720021077416e-12 1.3169934582361186e-12 -1.5252052649998762 3762026.1455264203
0397-51794-0005 5.66976391063687e-13 5.814682823790109e-13 -1.7059937893253594 7032467.126342978
0396-51816-0596 8.981464223238134e-13 9.36944019385536e-13 -1.4552013726010178 1614602.6171450992
0396-51816-0359 2.1172290754631732e-12 2.254611935425392e-12 -1.2603909708241445 837932.1556008983
0396-51816-0405 1.4405174910298575e-12 1.5171829695076905e-12 -1.676372047067757 14236529.090962384
0396-51816-0543 6.119335767795154e-13 6.40679963739381e-13 -1.3518676559945582 493644.0613838113
0397-51794-0276 7.144540556401887e-13 7.534613895047373e-13 -1.3406352452976646 528164.8287244958
2328-53728-0419 2.112966747888822e-13 2.183176654250882e-13 -0.6395755379195216 621.3470484676343
0397-51794-0467 9.165707688055207e-13 9.870123863891538e-13 -1.3663994832325457 827755.4686719726
0398-51789-0474 3.8540888222605427e-13 4.049708469445679e-13 -1.4141295242694567 504066.3128351067
0695-52202-0452 5.630914361924615e-13 5.907419998595093e-13 -1.1199331579630636 74292.89424872963
0398-51789-0220 6.384154640486227e-13 6.648889681170382e-13 -1.9775313337047333 62808574.11127207
2328-53728-0251 4.57543523914522e-13 4.82341540909473e-13 -0.48964443359905435 404.4734012385276
0398-51789-0211 5.200097413508464e-13 5.57422218290826e-13 -1.3036649257100894 288333.77442079555
0398-51789-0548 2.82448970620633e-12 3.005265722816208e-12 -2.334019274091023 4090879622.5624847
0398-51789-0233 1.1815284093209975e-12 1.2754833087639394e-12 -1.8879637054835616 58840333.630128615
1499-53001-0374 5.319573737790167e-13 5.740805495092202e-13 -1.0549738004228082 42140.21895514724
0397-51794-0069 7.558336376784116e-13 8.00825533962076e-13 -1.7179378825041458 10273500.722234989
0695-52202-0223 3.1642424588512583e-13 3.3375535817624256e-13 -1.4554743451674215 570040.4947637841
0398-51789-0110 5.184564579869476e-13 5.378212228767624e-13 -0.48223891526909574 431.82810203673836
0398-51789-0353 3.441719076253532e-13 3.709195081576211e-13 -1.2584483748518425 134164.17657396497
0397-51794-0044 9.061340878726633e-13 9.473173199013986e-13 -1.4927057543815259 2177055.171828022
0395-51783-0025 1.0156421622517876e-12 1.050076846540575e-12 -1.292607401580843 516688.88699686236
0397-51794-0262 1.5281361436892422e-12 1.6260355796104126e-12 -1.637838874636421 11234270.769489061
0397-51794-0482 4.0036834829954506e-13 4.223205755618855e-13 -1.2325291609411573 127491.08486852823
0397-51794-0439 4.751298690924439e-13 4.965180227096432e-13 -1.4423700405604147 773382.4320394688
0694-52209-0223 5.040757010360181e-13 5.309573400573257e-13 -2.03187085531949 74876639.46035907
0398-51789-0081 7.671307971986117e-13 8.153851253960871e-13 -1.4241124293371217 1084014.7925362654
0396-51816-0052 2.7682442614867776e-13 2.917497574881577e-13 -1.0961383427026046 30303.019420028755
